Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc0000,Robert Schumann,Lieder Edition 1,Thomas E. Bauer & Uta Hielscher,Ogg Vorbis -q 5,New York Public Library,2009-12-18,19th-century songs chamber,
mc0001,David Tudor,Rainforest,"David Tudor, et al",Ogg Vorbis -q 10,New York Public Library,2008-05-24,electroacoustic 20th-century,
mc0002,Sun Ra,Calling Planet Earth,Sun Ra; The Arkestra,FLAC,BitTorrent,2017-03-04,jazz 1960s 1970s compilations,
mc0004,Derek Bailey,Pieces For Guitar,Derek Bailey,Ogg Vorbis -q 8,New York Public Library,2008-06-07,solo improvisation guitar,
mc0005,William Byrd,"The Byrd Edition, Vols. 1--13",The Cardinall's Musick,FLAC,BitTorrent,2014-01,16th-century 17th-century choral motets masses,Contains a selection of Byrd's instrumental works only. Vol 9 is MP3 320 kb/s. Needs INFO file.
mc0006,Henry Purcell,Complete Chamber Music,Musica Amphion,FLAC,BitTorrent,2014-01-20,17th-century chamber box-sets brilliant,Needs INFO file.
mc0007,"John Cage, Morton Feldman, Earle Brown, Christian Wolff",The New York School 2,"Eberhard Blum, Jan Williams, Steffen Schleiermacher",Ogg Vorbis -q 5,New York Public Library,2009-05-21,20th-century chamber,
mc0008,John Taverner,Missa O Michael,"The Sixteen, Harry Christophers",FLAC,BitTorrent,2014-01-21,16th-century masses choral,Needs INFO file.
mc0009,Miles Davis & Gil Evans,The Complete Columbia Studio Recordings,"Miles Davis, Gil Evans, et al",FLAC,BitTorrent,2019-09-07,jazz orchestral 1950s big-band,
mc0010,Orlando Gibbons,Fantaisies Royales,"Jordi Savall, et al",FLAC,BitTorrent,2014-01-16,17th-century chamber,
mc0011,Wayne Shorter,Footprints Live,"Wayne Shorter, et al",Ogg Vorbis -q 8,New York Public Library,2008,jazz live 2000s,Needs INFO file.
mc0012,Bill Evans,The Paris Concert,"Bill Evans, Marc Johnson, Joe LaBarbera",Ogg Vorbis -q 5,New York Public Library,2009-05-27,jazz 1970s live,
mc0013,Duke Ellington,Such Sweet Thunder,Duke Ellington Orchestra,Ogg Vorbis -q 5,New York Public Library,2009-05-26,jazz 1950s big-band,
mc0014,Krzyztof Penderecki,Violin Sonatas; Miniatures; Cadenza,Ida Bieler & Nina Tichman,FLAC,New York Public Library,2010-12-23,20th-century contemporary chamber,
mc0015,Dire Straits,Communiqué,Dire Straits,FLAC,Personal collection,2016-04-03,rock 1970s,
mc0016,Claude Debussy,Suite bergamasque; Estampes; Images; etc.,Walter Gieseking,Ogg Vorbis -q 6,New York Public Library,2008-05-23,19th-century piano solo,
mc0017,Django Reinhardt,The Classic Early Recordings In Chronological Order,"Django Reinhardt, et al",Ogg Vorbis -q 4,Gift,2008-06-01,jazz 1930s box-sets jsp,
mc0018,Esther Venrooy & Heleen Van Haegenborgh,Mock Interiors,Esther Venrooy & Heleen Van Haegenborgh,FLAC,Personal collection,2016-04-03,electronic electroacoustic 2000s contemporary,
mc0019,Evan Parker,Time Lapse,Evan Parker,FLAC,New York Public Library,2008-06-04,contemporary 1990s saxophone solo,
mc0020,György Ligeti,The Ligeti Project,Various,FLAC,BitTorrent & New York Public Library,2008-06-06 & 2019-04-15,contemporary 20th-century,
mc0022,Christian Wolff,Tilbury/Snowdrop,"Roland Dahinden, Hildegarde Kleeb, Dimitris Polisoldis",FLAC,New York Public Library,2008-05-23,contemporary 20th-century chamber,
mc0023,Alla Francesca,Richard Coeur-de-Lion: Troubadours & Trouvères,Alla Francesca,FLAC,BitTorrent,2016-09-08,medieval songs,
mc0024,Chet Baker Quartet,"Chet Baker Quartet Live, Vol. 2",Chet Baker Quartet,Ogg Vorbis -q 5,New York Public Library,2009-05-28,jazz 1950s live,
mc0025,Chet Baker Quartet,"Chet Baker Quartet Live, Vol. 3",Chet Baker Quartet,Ogg Vorbis -q 5,New York Public Library,2009-05-26,jazz 1950s live,
mc0026,Dexter Gordon,Our Man In Paris,"Dexter Gordon, et al",Ogg Vorbis -q 6,New York Public Library,2008-06-06,jazz 1960s blue-note,
mc0027,Ludwig van Beethoven,"Diabelli Variations, op. 120",Alfred Brendel,FLAC,RPL,2013-08-29,19th-century piano variations solo,
mc0028,Philippe Verdelot,Madrigals For a Tudor King,"Alamire, Lynda Sayce, David Skinner",FLAC,RPL,2013-08-29,16th-century madrigals choral,
mc0029,Duke Ellington,"Black, Brown, and Beige","Duke Ellington Orchestra, Mahalia Jackson, et al",Ogg Vorbis -q 5,New York Public Library,unknown,jazz 1950s big-band,
mc0030,George Frideric Handel,"12 Solo Sonatas, op. 1",Academy of Ancient Music,FLAC,RPL,2013-09-26,18th-century chamber sonatas,
mc0031,"Josquin Desprez, Jean Mouton",Josquin: Missa de Beata Virgine; Mouton: Motets,The Theatre Of Voices,Ogg Vorbis -q 5,New York Public Library,2009-05-28,15th-century choral motets masses,
mc0032,John Taverner,Missa Sancti Wilhelmi,"The Sixteen, Harry Christophers",FLAC,BitTorrent,2014-01-21,16th-century choral mass,
mc0033,Various,The Complete Stax / Volt Singles 1959--1968,Various,FLAC,BitTorrent,2017-10-15,rnb rock-n-roll soul compilation,
mc0034,Various,Memphis Blues: Important Postwar Blues,Various,FLAC,BitTorrent,2017-10-29,blues rock-n-roll 1940s 1950s compilation jsp,
mc0035,Blind Boy Fuller,"Blind Boy Fuller, Volume 2","Blind Boy Fuller, et al",FLAC,BitTorrent,2017-10-29,blues 1940s compilation jsp,
mc0036,Various,The Memphis Jug Band With Cannon's Jug Stompers,Various,FLAC,BitTorrent,2017-11-05,jug-band blues 1920s compilation jsp,
mc0038,Miles Davis,Complete Live At The Plugged Nickel 1965,Miles Davis Second Quintet,FLAC,BitTorrent,2017-12-18,jazz live 1960s,
mc0039,Coleman Hawkins,Essential Sides Remastered 1929--1939,"Coleman Hawkins, et al",FLAC,BitTorrent,2019-09-06,jazz 1920s 1930s compilations jsp,
mc0040,Morton Feldman,Neither,"Radio-Sinfonie-Orchester Frankfurt, Sarah Leonard, Zoltán Peskó",Ogg Vorbis -q 5,New York Public Library,2009-12-29,modern opera orchestral,
mc0041,Joe Henderson,Our Thing,"Joe Henderson, et al",FLAC,BitTorrent,2013-09-26,jazz 1960s blue-note,
mc0042,"Charlie Haden, Billy Higgins, Enrico Pieranunzi",First Song,"Charlie Haden, Billy Higgins, Enrico Pieranunzi",FLAC,BitTorrent,2011-07-10,contemporary jazz 1990s,
mc0043,Kenny Dorham,Matador,"Kenny Dorham, et al",FLAC,BitTorrent,2018-01-04,jazz blue-note 1960s,
mc0044,Joseph Haydn,Complete String Quartets,Angeles Quartet,FLAC,BitTorrent,2017-12-24,18th-century chamber string-quartets complete-editions,
mc0045,Arthur Sullivan,The Mikado,D'Oyly Carte Opera Company,Ogg Vorbis -q 5,Personal collection,2018-01-21,19th-century opera,
mc0046,Thad Jones,Detroit--New York Junction,"Thad Jones, et al",Ogg Vorbis -q 5,New York Public Library,2009-08-07,jazz 1950s blue-note,
mc0048,The Who,Who's Next,The Who,FLAC,BitTorrent,2010-10 (restored 2017-01-16),rock 1970s,
mc0049,Jan Pieterszoon Sweelinck,Cantiones Sacrae,"Choir of Clare College, Cambridge; et al",Ogg Vorbis -q 5,New York Public Library,2010-06-28,17th-century choral motets,
mc0050,The Early Music Consort Of London,Music Of The Gothic Era,"The Early Music Consort Of London, David Munrow",FLAC,RPL,2013-09-17,medieval motets songs,
mc0051,Gothic Voices,The Unknown Lover: Songs By Solage and Machaut,Gothic Voices,FLAC,RPL,2013-09-17,medieval choral motets songs,
mc0052,Capilla Antigua de Chinchilla,Percival's Lament: Medieval Music and The Holy Grail,"Capilla Antigua de Chinchilla, José Ferrero",FLAC,RPL,2013-09-17,medieval songs,
mc0053,Various,"Music Of Islam, Vol. 12: Karaj, Iran",Various,Ogg Vorbis -q 5,New York Public Library,2009-05-27,,
mc0054,John McLaughlin,Extrapolation,"John McLaughlin, John Surman, Brian Odgers, Tony Oxley",FLAC,BitTorrent,2011-11-21,jazz 1960s fusion,
mc0055,Arcangelo Corelli,Complete Works,"Musica Amphion, Pieter-Jan Belder",FLAC,BitTorrent,2014-01-17,17th-century complete-editions baroque,
mc0056,Christian Wolff,For Ruth Crawford,"Hildegard Kleeb, Roland Dahinden, Dimitris Polisoidis",Ogg Vorbis -q 5,New York Public Library,2009-12-29,contemporary chamber 20th-century,
mc0057,Orlande de Lassus,Passio Secundum Matthaeum,"The Theatre Of Voices, Paul Hillier",Ogg Vorbis -q 5,New York Public Library,2009-05-28,16th-century choral,
mc0058,Carlo Gesualdo,Tenabrae,"Taverner Consort, Andrew Parrott",Ogg Vorbis -q 5,New York Public Library,2010-06-26,16th-century choral,
mc0059,Duke Ellington,Masterpieces By Ellington,Duke Ellington Orchestra,Ogg Vorbis -q 5,New York Public Library,2009-08-08,jazz 1950s,
mc0060,Capilla Antigua de Chinchilla,Tristan's Harp: Arthurian Medieval Music,"Capilla Antigua de Chinchilla, José Ferrero",FLAC,RPL,2013-09-29,medieval songs,
mc0061,Clifford Brown,The Best Of Clifford Brown,"Clifford Brown, et al",Ogg Vorbis -q 5,New York Public Library,2009-05-28,jazz compilation 1950s,
mc0062,Christian Wolff,(Re):Making Music,Barton Workshop,FLAC,New York Public Library,2008-05-28,contemporary chamber 20th-century,
mc0063,"William Byrd, et al",Motets and Mass For Four Voices,"The Theatre Of Voices, Paul Hillier",Ogg Vorbis -q 5,New York Public Library,2009-05-28,16th-century choral masses motets,
mc0064,Morton Feldman,Feldman Edition 4: Indeterminate Music,"The Turfan Ensemble, Philipp Vandré, Thaddeus Watson",Ogg Vorbis -q 5,New York Public Library,2009-05-29,chamber 20th-century contemporary,
mc0065,Jacob Obrecht,Missa Caput; Salve Regina,"Oxford Camerata, Jeremy Summerly",FLAC,BitTorrent,2014-01-17,15th-century masses motets choral,
mc0066,Jean-Philippe Rameau,"L'Orchestre de Louis XV: Suites d'Orchestre","Le Concert des Nations, Jordi Savall",FLAC,RPL,2013-08-30,18th-century orchestral suites,
mc0067,Ornette Coleman,Complete Science Fiction Recordings,"Ornette Coleman, et al",Ogg Vorbis -q 8,New York Public Library,2008-06-09,jazz 1970s,
mc0068,Morton Feldman,Feldman Edition 5: Voices & Instruments,"The Barton Workshop, James Fulkerson",Ogg Vorbis -q 5,New York Public Library,2009-05-26,contemporary chamber,
mc0069,Thomas Tallis,The Complete Works,"Chapelle du Roi, Alistair Dixon, et al",FLAC,BitTorrent,2014-01-23,16th-century choral complete-editions box-sets brilliant-classics,
mc0070,Art Blakey Quintet,"A Night At Birdland, Vol. 2",Art Blakey Quintet,Ogg Vorbis -q 5,New York Public Library,2009-05-26,jazz 1950s live,
mc0071,Wayne Shorter,Super Nova,"Wayne Shorter, et al",Ogg Vorbis -q 5,New York Public Library,2008,jazz 1960s fusion,
mc0072,Johann Sebastian Bach,Inventionen Und Sinfonien,Kenneth Gilbert,FLAC,BitTorrent,2013-09-20,18th-century harpsichord baroque,
mc0073,François Couperin,Piéces de Violes,"Wieland Kuijken, Kaori Uemura, Robert Kohnen",FLAC,RPL,2013-09-17,17th-century chamber baroque,
mc0074,Gustav Mahler,Symphony no. 9,"Royal Concertgebouw Orchestra, Riccardo Chailly",FLAC,RPL,2013-09-18,19th-century orchestral symphonies,
mc0075,Andrew Hill,A Beautiful Day,"Andrew Hill, et al",FLAC,BitTorrent,2018-04-16,jazz 2000s live,
mc0076,Andrew Hill,Blue Black,"Andrew Hill, et al",FLAC,BitTorrent,2015-12-09,jazz 1970s,
mc0077,Andrew Hill,Change,"Andrew Hill, et al",FLAC,BitTorrent,2017-02-19,jazz 1960s,
mc0078,Morton Feldman,Piano and String Quartet,"Aki Takahashi, Kronos Quartet",FLAC,Personal collection,2008-06-07,contemporary chamber,
mc0079,Andrew Hill,Dusk,"Andrew Hill, et al",FLAC,BitTorrent,2018-04-03,jazz 1990s,
mc0080,Duke Ellington,Piano In The Background,Duke Ellington Orchestra,Ogg Vorbis -q 5,New York Public Library,2009-08-11,jazz 1960s,
mc0081,Thelonious Monk,Monk Alone: The Complete Columbia Solo Studio Recordings 1962--1968,Thelonious Monk,Ogg Vorbis -q 8,New York Public Library,2008-06-29,jazz 1960s piano,
mc0083,Eric Dolphy,The Illinois Concert,"Eric Dolphy, et al",Ogg Vorbis -q 6,New York Public Library,2008,jazz 1960s live,
mc0084,Alban Berg,"Kammerkonzert, Violinkonzert, Drei Orchesterstücke","London Symphony Orchestra, BBC Symphony Orchestra, Pierre Boulez, et al",FLAC,New York Public Library,2008,modern orchestral concerti,
mc0085,Andrew Hill,Lift Every Voice,"Andrew Hill, et al",FLAC,BitTorrent,2015-12-10,jazz 1960s,
mc0086,Andrew Hill,Nefertiti,"Andrew Hill, et al",FLAC,BitTorrent,2015-12-09,jazz 1970s,
mc0087,"John Coltrane, Archie Shepp",New Thing At Newport,"John Coltrane, Archie Shepp",Ogg Vorbis -q 5,New York Public Library,2009-05-27,jazz 1960s live,
mc0088,György Kurtág,Kafka-Fragmente,Juliane Banse & András Keller,Ogg Vorbis -q 5,New York Public Library,2009-05-27,contemporary chamber,
mc0089,Andrew Hill,Spiral,"Andrew Hill, et al",FLAC,BitTorrent,2015-12-10,jazz 1970s,
mc0090,Max Roach,Percussion Bitter Sweet,"Max Roach, et al",Ogg Vorbis -q 5,New York Public Library,2009-05-27,jazz 1960s,
mc0091,Miles Davis,Seven Steps: The Complete Columbia Studio Recordings 1963--1964,"Miles Davis, et al",Ogg Vorbis -q 5,BitTorrent,2009-05,jazz 1960s box-sets,
mc0092,Vinko Globokar,Toucher,Matthias Kaul,Ogg Vorbis -q 5,New York Public Library,2009-12-26,contemporary solo,
mc0093,Gothic Voices,The Spirits Of England And France 2: Songs Of The Trouvères,"Gothic Voices, Christopher Page",FLAC,RPL,2013-09-17,medieval songs,
mc0094,Andrew Hill,Strange Serenade,"Andrew Hill, et al",MP3 320k,BitTorrent,unknown,jazz 1980s,
mc0095,Andrew Hill,The Day The World Stood Still,"Andrew Hill, et al",MP3 160k,BitTorrent,unknown,jazz 2000s live,Need better copy.
mc0096,Andrew Hill,Time Lines,"Andrew Hill, et al",FLAC,BitTorrent,2018-04-03,jazz 2000s,
mc0097,Johann Sebastian Bach,Fugues From The Well-Tempered Clavier,"Emerson String Quartet, Da-Hong Seetoo",Ogg Vorbis -q 5,New York Public Library,2009-06-01,18th-century arrangement string-quartet chamber,
mc0098,Andrew Hill,Andrew!!!,"Andrew Hill, et al",FLAC,BitTorrent,2015-12-09,jazz 1960s,
mc0099,Anton Bruckner,String Quintet,"Amadeus Quartet, Cecil Aronowitz",Ogg Vorbis -q 5,New York Public Library,2010-06-08,19th-century chamber string-quintet,Split from compilation.
mc0100,György Ligeti,"Complete Piano Music, Vol. 2",Fredrik Ullén,Ogg Vorbis -q 5,New York Public Library,2008,contemporary solo piano,
mc0101,Guilliaume Machaut,Motets,The Hilliard Ensemble,Ogg Vorbis -q 5,New York Public Library,2010-06-19,medieval 14th-century motets ecm,
mc0102,Miles Davis,Miles: The New Miles Davis Quintet,Miles Davis First Quintet,FLAC,BitTorrent,2017-04-28,jazz 1950s prestige,
mc0103,Bill Evans Trio,"In Buenos Aires, Vol. 3",Bill Evans Trio,FLAC,BitTorrent,2013-07-09,jazz live 1970s,
mc0104,Miles Davis & Palle Mikkelborg,Aura,"Miles Davis, Palle Mikkelborg, et al",Ogg Vorbis -q 5,New York Public Library,2008-06-15,jazz 1990s fusion contemporary electronic,
mc0105,Cristóbal de Morales,Missa Mille Regretz,The Hilliard Ensemble,FLAC,BitTorrent,2014-03-02,16th-century choral masses,
mc0106,Guilliaume Dufay,Chansons,Ensemble Unicorn,FLAC,BitTorrent,2021-09-20,15th-century medieval renaissance songs,
mc0107,Thomas Campion,Ayres,Drew Minter & Paul O'Dette,Ogg Vorbis -q 5,New York Public Library,2008-06-05,16th-century 17th-century renaissance chamber songs,
mc0108,Claude Debussy,Danses; Poèmes; Ballades,"Cleveland Orchestra, Alison Hagley, Pierre Boulez",Ogg Vorbis -q 5,New York Public Library,2009-05-09,19th-century orchestral,
mc0109,Peter Tosh,Legalize It,"Peter Tosh, et al",Ogg Vorbis -q 6,New York Public Library,2008-06-15,reggae rock 1970s,
mc0110,Curtis Mayfield,Curtis/Live,"Curtis Mayfield, et al",Ogg Vorbis -q 8,New York Public Library,2008-06-15,rock soul funk 1970s live,
mc0111,Arnold Schoenberg,"Chamber Symphonies, Piano Concerto","SWF Sinfonieorchester Baden-Baden, Alfred Brendel, Michael Gielen",Ogg Vorbis -q 5,New York Public Library,2008-06-02,20th-century modern symphony concerto,
mc0112,John Cage,"Music For Prepared Piano, Vol. 2",Boris Berman,Ogg Vorbis -q 5,New York Public Library,2008-06-16,20th-century modern solo piano percussion,Some ripping noise.
mc0113,Morton Feldman,Works For Piano 2,"Steffen Schleiermacher, et al",Ogg Vorbis -q 5,New York Public Library,2009-05-30,20th-century contemporary chamber solo piano,
mc0114,"Antoine Forqueray, Jean-Baptiste Forqueray",Harpsichord Suites,Mitzi Meyerson,Ogg Vorbis -q 5,New York Public Library,2008-11-17,17th-century solo harpsichord baroque,
mc0115,Miles Davis Quintet,Workin',Miles Davis First Quintet,FLAC,BitTorrent,2017-04-28,jazz 1950s prestige,
mc0116,Ornette Coleman,Body Meta,"Ornette Coleman, et al",Ogg Vorbis -q 5,New York Public Library,2009-05-30,jazz 1970s,
mc0117,Antonin Dvořák,"String Quartet no. 12, op. 96",Amadeus Quartet,Ogg Vorbis -q 5,New York Public Library,2010-06-08,19th-century chamber string-quartet,Split from compilation.
mc0118,Freddie Hubbard,Ready For Freddie,"Freddie Hubbard, et al",Ogg Vorbis -q 8,New York Public Library,2008-06-13,jazz 1960s blue-note,
mc0119,Albert Ayler,Complete Impulse Recordings,"Albert Ayler, Don Ayler, et al",Ogg Vorbis -q 5,New York Public Library,2008-08-12,jazz 1960s live,
mc0120,William Billings,"""A Land Of Pure Delight"": Anthems & Fuguing Tunes","His Majestie's Clerkes, Paul Hillier",FLAC,BitTorrent,2016-09-08,18th-century choral,
mc0121,Kenny Dorham,'Round About Midnight at the Cafe Bohemia,"Kenny Dorham, et al",FLAC,BitTorrent,2023-04-18,jazz 1950s live blue-note,
mc0122,Paul Simon,The Rhythm of the Saints,"Paul Simon, et al",FLAC,Monroe County Library,2022-09-26,rock brazil,
mc0123,Orlando Gibbons,Consorts For Viols,"Phantasm, et al",FLAC,RPL,2013-09-29,17th-century chamber,
mc0124,Nicholas Ludford,"Ludford, Vol. 3: Missa Christi Virgo Dilectissima","The Cardinall's Musick, Andrew Carwood, David Skinner",FLAC,BitTorrent,2014-03-04,15th-century choral mass,
mc0125,George Russell,"New York, New York",Various,FLAC,BitTorrent,2013-07-09,jazz 1960s chamber,
mc0126,Richard Strauss,"Tod und Verklärung, op. 24; Also sprach Zarathustra, op. 30","New York Philharmonic, Giuseppe Sinopoli",Ogg Vorbis -q 5,Bakalar Library,2008-12-05,19th-century orchestral tone-poem,
mc0127,Giovanni Pierluigi Palestrina,"Missa Sine nomine, Missa l'Homme Armé, Motets","Soloists of the Cappella Musicale di S. Petronio di Bologna, Sergio Vartolo",Ogg Vorbis -q 5,New York Public Library,2008,16th-century choral mass motet,
mc0128,Nicholas Ludford,"Ludford, Vol. 4: Missa Lapidaverunt Stephanum, Ave Maria ancilla trinitatis","The Cardinall's Musick, Andrew Carwood, David Skinner",FLAC,BitTorrent,2014-03-04,15th-century choral mass motet,
mc0129,Johann Sebastian Bach,"Brandenburg Concerti, BWV 1046--1051","Bach Collegium Japan, Masaaki Suzuki",Ogg Vorbis -q 5,New York Public Library,2008-05-16,18th-century concerto baroque,
mc0130,Andrew Hill,Point of Departure,"Andrew Hill, et al",FLAC,BitTorrent,2023-04-17,jazz 1960s blue-note rvg,
mc0131,Luigi Dallapiccola,Vocal Music,"Ensemble Contrechamps, Giorgio Bernasconi, et al",Ogg Vorbis -q 5,New York Public Library,2010-05-27,20th-century vocal chamber modern,
mc0132,Earle Brown,Centering,Unknown,Ogg Vorbis -q 5,New York Public Library,Unknown,20th-century contemporary,Needs INFO file.
mc0133,Arcangelo Corelli,"Violin Sonatas, op. 5","Trio Sonnerie, Nigel North",Ogg Vorbis -q 5,Bakalar Library,2008-12-12,17th-century chamber sonata baroque,
mc0134,Giovanni Pierluigi Palestrina,Missa Assumpta est Maria; Missa Sicut lilium inter spinas,"The Tallis Scholars, Peter Phillips",Ogg Vorbis -q 5,Bakalar Library,2008-10-10,16th-century mass choral renaissance,
mc0135,Christian Wolff,Exercises,"Eberhard Blum, et al",Ogg Vorbis -q 5,New York Public Library,2008,contemporary 20th-century chamber,
mc0136,Arcangelo Corelli,"Concerti Grossi, op. 6","La Petite Bande, Sigiswald Kuijken",Ogg Vorbis -q 5,Bakalar Library,2008-12-12,17th-century concerto baroque,
mc0137,Sergei Prokofiev,"Scythian Suite, op. 20","Chicago Symphony Orchestra, Claudio Abbado",Ogg Vorbis -q 5,Bakalar Library,2009-04-27,20th-century modern suite orchestral,
mc0138,Heinrich Isaac,Sacred and Secular Works,The Hilliard Ensemble; Kees Boeke Ensemble,Ogg Vorbis -q 5,Bakalar Library,2008-10-10,15th-century choral song motet renaissance,
mc0139,Morton Feldman,Clarinet and String Quartet,"Pellegrini Quartet, Ib Hausmann",Ogg Vorbis -q 5,New York Public Library,2008,contemporary 20th-century chamber,
mc0140,Pierre Boulez,Boulez Conducts Boulez,"Ensemble Intercontemporain, Pierre Boulez",Ogg Vorbis -q 5,New York Public Library,2008-06-03,contemporary 20th-century,
mc0141,Wayne Shorter,Speak No Evil,"Wayne Shorter, et al",FLAC,Personal collection,2015-12-26,jazz 1960s blue-note,
mc0142,Johann Sebastian Bach,"English Suites, BWV 806--811",Glenn Gould,FLAC,New York Public Library,2011-03-16,18th-century baroque suite solo piano,
mc0143,"Morton Feldman, Stefan Wolpe",For Stefan Wolpe,"Choir of St. Ignatius of Antioch, Harold Chaney, et al",Ogg Vorbis -q 5,New York Public Library,2008-06-13,contemporary 20th-century choral,
mc0144,Bedřich Smetana,String Quartet no. 1,Amadeus Quartet,Ogg Vorbis -q 5,New York Public Library,2010-06-08,19th-century string-quartet chamber,Split from compilation.
mc0145,Igor Stravinsky,Violin Concerto,"Philharmonia Orchestra, Anne-Sophie Mutter, Paul Sacher",Ogg Vorbis -q 5,Bakalar Library,2009-04-27,20th-century modern concerto,
mc0146,Harry Partch,The Harry Partch Collection,"Harry Partch, et al",FLAC,BitTorrent,2019-04-07,20th-century compilation,
mc0147,Andrew Hill,Black Fire,"Andrew Hill, et al",FLAC,BitTorrent,2023-04-17,jazz 1960s blue-note rvg,
mc0148,Andrew Hill,Dance With Death,"Andrew Hill, et al",FLAC,BitTorrent,2011-12,jazz 1960s blue-note,Needs INFO file.
mc0149,Arnold Schoenberg,"Orchestral Songs, Variations, etc.","Robert Craft, et al",FLAC,New York Public Library,2011-06-04,20th-century modern orchestral,
mc0150,Andrew Hill,Pax,"Andrew Hill, et al",FLAC,BitTorrent,2015-12-10,jazz 1960s blue-note,
mc0151,Perotin,Perotin,The Hilliard Ensemble,Ogg Vorbis -q 5,New York Public Library,2009-12-29,medieval motet choral,
mc0152,Wayne Shorter,Adam's Apple,"Wayne Shorter, et al",Ogg Vorbis -q 5,New York Public Library,2009-07-17,jazz 1960s blue-note,
mc0153,Ludwig van Beethoven,Complete String Quartets,Amadeus Quartet,FLAC,BitTorrent,2013-10-14,19th-century chamber string-quartets,
mc0154,Hector Berlioz,Symphonie Fantastique,"New York Philharmonic, Leonard Bernstein",Ogg Vorbis -q 5,New York Public Library,2010-07-07,19th-century orchestral symphonies,
mc0155,Johann Sebastian Bach,"Magnificat, BWV 243; Ein feste Burg ist unser Gott, BWV 80","La Chapelle Royale, Collegium Vocale, Philippe Herreweghe, et al",Ogg Vorbis -q 5,New York Public Library,2008-06-16,18th-century choral cantatas,
mc0156,Eric Dolphy,The Complete Prestige Recordings,"Eric Dolphy, et al",Ogg Vorbis -q 5,BitTorrent,2009-05,jazz 1960s complete-edition prestige,Needs INFO file.
mc0157,Johann Sebastian Bach,Sonatas and Partitas For Solo Violin,Henryk Szeryng,FLAC,Download,2012-02-16,18th-century solo violin,
mc0158,Wayne Shorter,Schizophrenia,"Wayne Shorter, et al",FLAC,BitTorrent,2015-02-24,jazz 1960s blue-note hdtracks,
mc0159,Cannonball Adderley,Enroute,"Cannonball Adderley, et al",FLAC,BitTorrent,2012-06-16,jazz 1950s vinyl-rip,
mc0160,Giovanni Pierluigi Palestrina,Missa Pro Defunctis; Motets; Canticum Cantorum,"Chanticleer, Joseph Jennings",Ogg Vorbis -q 8,New York Public Library,2008-06-19,choral 16th-century masses motets,
mc0161,Johannes Ockeghem,Missa Prolationum; Marian Motets,"The Hilliard Ensemble, Paul Hillier",Ogg Vorbis -q 5,Bakalar Library,2008-10-10,choral 15th-century choral masses motets,
mc0162,Larry Young,Lawrence Of Newark,"Larry Young, et al",FLAC,Download,2011-12,jazz 1970s,
mc0163,Charles Ives,Violin Sonatas,"Curt Thompson, Rodney Waters",Ogg Vorbis -q 5,New York Public Library,2008-06-17,modern 20th-century chamber sonatas,
mc0165,Pro Cantione Antiqua,"Ockeghem, Dunstable, Power: Geistliche Chorwerke","Pro Cantione Antiqua, Mark Brown",FLAC (transcoded from Vorbis),Bakalar Library,2008-10-10,15th-century choral masses motets,
mc0166,Bill Frisell,Blues Dream,"Bill Frisell, et al",Ogg Vorbis -q 5,New York Public Library,2008-06-26,jazz 2000s fusion country,
mc0167,Thomas Tallis,Spem In Alium,"Winchester Cathedral Choir, David Hill",Ogg Vorbis -q 5,Bakalar Library,2008-10-10,choral 16th-century motets,
mc0168,Josquin des Prez,Motets et Chansons,"The Hilliard Ensemble, Paul Hillier",FLAC (transcoded from Vorbis),Bakalar Library,2008-10-10,choral 15th-century motets songs,
mc0169,Grant Green,Idle Moments,"Grant Green, et al",FLAC,Download,2011-12,jazz 1960s blue-note,
mc0170,Herbie Hancock,Empyrean Isles,"Herbie Hancock, et al",FLAC,BitTorrent,2015-11-16,jazz 1960s blue-note hdtracks,
mc0171,Olivier Messiaen,Vingt regards sur l'enfant Jesus,Peter Serkin,Ogg Vorbis -q 5,New York Public Library,2010-05-08,modern 20th-century solo piano,
mc0172,Lee Morgan,The Gigolo,"Lee Morgan, et al",FLAC,Download,2011-12,jazz 1960s blue-note,
mc0173,Derek Bailey,Ballads,Derek Bailey,Ogg Vorbis -q 5,New York Public Library,2009-12-14,contemporary solo guitar jazz,
mc0174,Hank Mobley,Roll Call,"Hank Mobley, et al",FLAC,Download,2011-12,jazz 1960s,
mc0175,Ludwig van Beethoven,"Piano Trios, op. 70, nos. 1 & 2; Variations, op. 44",Xyrion Trio,Ogg Vorbis -q 5,New York Public Library,2009-06-02,19th-century chamber trios,
mc0176,Luciano Berio,Complete Solo Piano Works,David Arden,Ogg Vorbis -q 5,New York Public Library,2008,contemporary 20th-century piano solo,Needs INFO file.
mc0177,Robert Schumann,Liederkreis; Songs,Various,Ogg Vorbis -q 5,New York Public Library,2009-06-01,19th-century songs chamber,
mc0178,Wayne Shorter,Beyond the Sound Barrier,"Wayne Shorter, et al",FLAC,Download,2011-12,jazz 2000s live,
mc0179,"Wolfgang Amadeus Mozart, Franz Xaver Süssmayr","Requiem, K 626; Kyrie, K 341","Orchestre des Champs-Élysées, La Chapelle Royale, Collegium Vocale, Philippe Herreweghe",FLAC,Personal collection,2008-06-03,choral orchestral 18th-century,
mc0180,Josquin des Prez,l'Homme armé Masses,"The Tallis Scholars, Peter Phillips",FLAC (transcoded from Vorbis),Bakalar Library,2008-10-10,choral 15th-century masses,
