Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc0931,Luciano Berio,Many More Voices,"Luciano Berio, et al",Ogg Vorbis -q 5,New York Public Library,2009-03-19,vocal 20th-century,
mc0932,Miles Davis,A Tribute to Jack Johnson,"Miles Davis, et al",Ogg Vorbis -q 5,New York Public Library,2009-03-17,1970s jazz rock fusion ambient,
mc0933,Van Morrison,Saint Dominic's Preview,"Van Morrison, et al",Ogg Vorbis -q 5,BitTorrent,2012-04-16,1970s soul rock rnb,
mc0934,William Byrd,"13 Motets From ""Cantiones Sacrae""","The Sarum Consort, Andrew Mackay",Ogg Vorbis -q 5,New York Public Library,2009-03-17,16th-century motets choral,
mc0935,William Byrd,The Great Service,"Choir of Westminster Abbey, James O'Donnell, et al",Ogg Vorbis -q 5,New York Public Library,2009-03-18,choral 16th-century 17th-century,
mc0936,Various,"Southern Journey, vol. 10: And Glory Shone Around",Various,Ogg Vorbis -q 5,New York Public Library,2009-03-19,folk choral us alabama shape-note,
mc0937,Anonymous,Carmina Burana Vol. 2,"New London Consort, Philip Pickett",FLAC,Monroe County Library,2023-02-22,medieval songs,
mc0938,Conlon Nancarrow,Studies for Player Piano,None (player piano),FLAC,Monroe County Library,2018-09-01,20th-century solo player-piano,
mc0939,Don Cherry,Complete Communion,"Don Cherry, et al",Ogg Vorbis -q 5,New York Public Library,2009-03-20,jazz free-jazz 1960s blue-note,
mc0940,Ignaz Pleyel,"String Quartets op. 2, nos. 4-6",Ensō Quartet,FLAC,Monroe County Library,2018-09-01,chamber 18th-century,
mc0941,Sun Ra,Cosmic Tones for Mental Therapy/Art Forms of Dimensions Tomorrow,Sun Ra and His Myth Science Arkestra,FLAC,BitTorrent,2016-09-19,1960s jazz free-improvisation,
mc0942,Guillaume de Machaut,Sacred and Secular Music,"Ensemble Gilles Binchois, Dominique Vellard",FLAC,BitTorrent,2014-02-02,14th-century box-sets brilliant-classics,
mc0943,Sam Rivers,Contours,"Sam Rivers, et al",Ogg Vorbis -q 5,New York Public Library,2009-03-20,jazz 1960s blue-note,
mc0944,Various,Songs and Dances of the Eastern Indians from Medicine Spring and Allegany,Various,Ogg Vorbis -q 5,New York Public Library,2009-03-19,folk native-american,
mc0945,The Jazz Messengers,At the Café Bohemia,The Jazz Messengers,FLAC,BitTorrent,2019-08-26,jazz 1950s blue-note,
mc0946,Nicolas Gombert,Music for the Court of Charles V,"Huelgas Ensemble, Paul van Nevel",FLAC,BitTorrent,2014-02-03,15th-century masses magnificats choral,
mc0947,Hobart Smith,Blue Ridge Legacy (Lomax Collection),"Hobart Smith, et al",Ogg Vorbis -q 5,New York Public Library,2009-03-21,bluegrass country folk american,
mc0948,Bob Dylan,"The Bootleg Series, vol. 6: Live 1964",Bob Dylan,Ogg Vorbis -q 5,New York Public Library,2009-03-21,folk rock blues 1960s live,
